host_id,hostname,mgmt_ip,mgmt_prefix,mgmt_gateway,mgmt_iface1,mgmt_mac1,mgmt_iface2,mgmt_mac2,rdma1_name,rdma1_ip,rdma1_gateway,rdma1_mac,rdma2_name,rdma2_ip,rdma2_gateway,rdma2_mac,rdma3_name,rdma3_ip,rdma3_gateway,rdma3_mac,rdma4_name,rdma4_ip,rdma4_gateway,rdma4_mac
node1,node1,172.19.37.126,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.11,10.247.1.1,,ens13np0,10.247.2.11,10.247.2.1,,ens15np0,10.247.3.11,10.247.3.1,,ens17np0,10.247.4.11,10.247.4.1,
node2,node2,172.19.37.127,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.12,10.247.1.1,,ens13np0,10.247.2.12,10.247.2.1,,ens15np0,10.247.3.12,10.247.3.1,,ens17np0,10.247.4.12,10.247.4.1,
node3,node3,172.19.37.128,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.13,10.247.1.1,,ens13np0,10.247.2.13,10.247.2.1,,ens15np0,10.247.3.13,10.247.3.1,,ens17np0,10.247.4.13,10.247.4.1,
node4,node4,172.19.37.129,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.14,10.247.1.1,,ens13np0,10.247.2.14,10.247.2.1,,ens15np0,10.247.3.14,10.247.3.1,,ens17np0,10.247.4.14,10.247.4.1,
node5,node5,172.19.37.130,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.15,10.247.1.1,,ens13np0,10.247.2.15,10.247.2.1,,ens15np0,10.247.3.15,10.247.3.1,,ens17np0,10.247.4.15,10.247.4.1,
node6,node6,172.19.37.131,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.16,10.247.1.1,,ens13np0,10.247.2.16,10.247.2.1,,ens15np0,10.247.3.16,10.247.3.1,,ens17np0,10.247.4.16,10.247.4.1,
node7,node7,172.19.37.132,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.17,10.247.1.1,,ens13np0,10.247.2.17,10.247.2.1,,ens15np0,10.247.3.17,10.247.3.1,,ens17np0,10.247.4.17,10.247.4.1,
node8,node8,172.19.37.133,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.18,10.247.1.1,,ens13np0,10.247.2.18,10.247.2.1,,ens15np0,10.247.3.18,10.247.3.1,,ens17np0,10.247.4.18,10.247.4.1,
node9,node9,172.19.37.134,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.19,10.247.1.1,,ens13np0,10.247.2.19,10.247.2.1,,ens15np0,10.247.3.19,10.247.3.1,,ens17np0,10.247.4.19,10.247.4.1,
node10,node10,172.19.37.135,24,172.19.37.1,enp6s0f0np0,,,,ens11np0,10.247.1.20,10.247.1.1,,ens13np0,10.247.2.20,10.247.2.1,,ens15np0,10.247.3.20,10.247.3.1,,ens17np0,10.247.4.20,10.247.4.1,
